Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Fri, Mar 1, 2024",7:00p,Cleveland Cavaliers,110,Detroit Pistons,100,Box Score,,"19,299",2:12,Little Caesars Arena,
"Fri, Mar 1, 2024",7:00p,Charlotte Hornets,114,Philadelphia 76ers,121,Box Score,,"19,788",2:12,Wells Fargo Center,
"Fri, Mar 1, 2024",7:30p,Dallas Mavericks,110,Boston Celtics,138,Box Score,,"19,156",2:08,TD Garden,
"Fri, Mar 1, 2024",7:30p,Golden State Warriors,120,Toronto Raptors,105,Box Score,,"19,800",2:10,Scotiabank Arena,
"Fri, Mar 1, 2024",8:00p,Portland Trail Blazers,122,Memphis Grizzlies,92,Box Score,,"15,493",2:08,FedEx Forum,
"Fri, Mar 1, 2024",8:00p,Sacramento Kings,124,Minnesota Timberwolves,120,Box Score,OT,"18,024",2:37,Target Center,
"Fri, Mar 1, 2024",8:00p,Indiana Pacers,102,New Orleans Pelicans,129,Box Score,,"17,898",2:12,Smoothie King Center,
"Fri, Mar 1, 2024",10:00p,Milwaukee Bucks,113,Chicago Bulls,97,Box Score,,"21,249",2:24,United Center,
"Fri, Mar 1, 2024",10:30p,Washington Wizards,115,Los Angeles Clippers,140,Box Score,,"19,370",2:07,Crypto.com Arena,
"Sat, Mar 2, 2024",3:00p,Atlanta Hawks,102,Brooklyn Nets,114,Box Score,,"18,075",2:18,Barclays Center,
"Sat, Mar 2, 2024",5:00p,Utah Jazz,120,Miami Heat,126,Box Score,,"19,858",2:14,Kaseya Center,
"Sat, Mar 2, 2024",8:00p,Portland Trail Blazers,107,Memphis Grizzlies,100,Box Score,OT,"16,381",2:37,FedEx Forum,
"Sat, Mar 2, 2024",8:30p,Denver Nuggets,124,Los Angeles Lakers,114,Box Score,,"18,997",2:02,Crypto.com Arena,
"Sat, Mar 2, 2024",9:00p,Houston Rockets,118,Phoenix Suns,109,Box Score,,"17,071",2:34,Footprint Center,
